iter	Passed	Remaining
571	76595	44591
572	76733	44459
573	76877	44331
574	77016	44200
575	77154	44069
576	77265	43922
577	77402	43790
578	77536	43655
579	77673	43523
580	77809	43391
581	77952	43262
582	78091	43130
583	78224	42996
584	78359	42863
585	78471	42717
586	78584	42571
587	78720	42439
588	78862	42309
589	79001	42178
590	79138	42046
591	79273	41913
592	79412	41781
593	79552	41651
594	79688	41518
595	79822	41384
596	79963	41254
597	80097	41120
598	80231	40986
599	80370	40855
600	80504	40720
601	80641	40588
602	80780	40457
603	80918	40325
604	81059	40195
605	81198	40063
606	81337	39931
607	81476	39800
608	81606	39664
609	81742	39531
610	81879	39398
611	82017	39266
612	82129	39121
613	82270	38991
614	82412	38861
615	82551	38729
616	82677	38591
617	82816	38460
618	82954	38327
619	83094	38196
620	83234	38065
621	83351	37923
622	83492	37792
623	83630	37660
624	83764	37526
625	83898	37392
626	84035	37259
627	84171	37126
628	84300	36990
629	84439	36858
630	84575	36725
631	84714	36593
632	84841	36456
633	84982	36325
634	85103	36185
635	85240	36052
636	85382	35922
637	85509	35785
638	85649	35653
639	85786	35520
640	85921	35387
641	86055	35253
642	86193	35120
643	86331	34988
644	86467	34855
645	86602	34721
646	86742	34589
647	86877	34456
648	87015	34323
649	87159	34193
650	87292	34058
651	87426	33924
652	87561	33791
653	87696	33657
654	87837	33525
655	87980	33394
656	88114	33260
657	88248	33126
658	88383	32993
659	88518	32859
660	88657	32726
661	88785	32590
662	88925	32458
663	89040	32317
664	89185	32187
665	89328	32056
666	89469	31924
667	89607	31791
668	89742	31657
669	89878	31524
670	90013	31390
671	90148	31256
672	90281	31122
673	90412	30987
674	90549	30853
675	90682	30719
676	90821	30586
677	90958	30453
678	91083	30316
679	91221	30183
680	91361	30051
681	91473	29910
682	91613	29777
683	91752	29645
684	91890	29512
685	92024	29377
686	92162	29245
687	92296	29110
688	92433	28977
689	92574	28845
690	92707	28711
691	92846	28578
692	92983	28445
693	93126	28313
694	93263	28180
695	93408	28049
696	93548	27916
697	93687	27784
698	93827	27651
699	93963	27517
700	94103	27385
701	94242	27252
702	94371	27116
703	94510	26983
704	94643	26849
705	94772	26713
706	94906	26579
707	95039	26444
708	95178	26311
709	95309	26176
710	95448	26043
711	95584	25909
712	95725	25777
713	95861	25643
714	95998	25510
715	96135	25376
716	96273	25243
717	96414	25110
718	96552	24977
719	96692	24844
720	96828	24710
721	96969	24578
722	97108	24444
723	97245	24311
724	97386	24178
725	97528	24046
726	97666	23912
727	97803	23779
728	97931	23643
729	98070	23509
730	98205	23375
731	98334	23240
732	98473	23107
733	98611	22973
734	98746	22839
735	98885	22706
736	99027	22573
737	99166	22440
738	99307	22307
739	99450	22174
740	99569	22036
741	99706	21903
742	99842	21769
743	99976	21634
744	100115	21501
745	100256	21368
746	100395	21234
747	100535	21101
748	100673	20967
749	100811	20834
750	100957	20702
751	101095	20568
752	101229	20434
753	101371	20301
754	101510	20167
755	101657	20035
756	101793	19901
757	101932	19767
758	102072	19634
759	102210	19500
760	102351	19367
761	102491	19234
762	102626	19099
763	102767	18966
764	102891	18829
765	103031	18696
766	103166	18561
767	103302	18427
768	103443	18294
769	103583	18160
770	103722	18027
771	103861	17893
772	103999	17759
773	104137	17625
774	104275	17491
775	104414	17357
776	104554	17223
777	104693	17090
778	104831	16955
779	104968	16821
780	105105	16687
781	105243	16553
782	105386	16420
783	105522	16285
784	105668	16153
785	105803	16018
786	105941	15884
787	106078	15750
788	106219	15616
789	106356	15482
790	106493	15347
791	106632	15213
792	106768	15079
793	106904	14945
794	107042	14810
795	107186	14677
796	107325	14543
797	107464	14409
798	107603	14275
799	107745	14141
800	107875	14006
801	108014	13872
802	108145	13736
803	108286	13603
804	108425	13469
805	108563	13334
806	108703	13200
807	108844	13066
808	108983	12932
809	109120	12798
810	109262	12664
811	109401	12529
812	109528	12394
813	109667	12260
814	109811	12126
815	109951	11992
816	110086	11857
817	110222	11722
818	110365	11589
819	110504	11454
820	110645	11320
821	110785	11186
822	110920	11051
823	111061	10917
824	111198	10782
825	111338	10648
826	111483	10514
827	111622	10380
828	111761	10245
829	111905	10111
830	112045	9977
831	112182	9842
832	112321	9708
833	112459	9573
834	112596	9439
835	112737	9304
836	112874	9170
837	113012	9035
838	113151	8901
839	113283	8765
840	113423	8631
841	113561	8496
842	113697	8362
843	113834	8227
844	113980	8093
845	114117	7958
846	114258	7824
847	114393	7689
848	114532	7554
849	114668	7419
850	114808	7285
851	114937	7149
852	115066	7014
853	115202	6879
854	115344	6745
855	115484	6610
856	115620	6475
857	115760	6341
858	115903	6206
859	116048	6072
860	116189	5937
861	116326	5802
862	116462	5667
863	116600	5533
864	116735	5398
865	116875	5263
866	117013	5128
867	117153	4993
868	117291	4859
